group,function,value,sample_time_nanos,iteration_count
add,,,978012.0,559764
add,,,1634810.0,1119528
add,,,2576796.0,1679292
add,,,3263877.0,2239056
add,,,4610427.0,2798820
add,,,5118850.0,3358584
add,,,6244773.0,3918348
add,,,6780939.0,4478112
add,,,9028277.0,5037876
add,,,9081090.0,5597640
add,,,12053362.0,6157404
add,,,10425508.0,6717168
add,,,11591342.0,7276932
add,,,12078510.0,7836696
add,,,13308415.0,8396460
add,,,14141143.0,8956224
add,,,14771367.0,9515988
add,,,15532235.0,10075752
add,,,17319203.0,10635516
add,,,17374820.0,11195280
add,,,18913792.0,11755044
add,,,19584139.0,12314808
add,,,20130312.0,12874572
add,,,20551780.0,13434336
add,,,21429110.0,13994100
add,,,23827734.0,14553864
add,,,22641411.0,15113628
add,,,24814729.0,15673392
add,,,24541166.0,16233156
add,,,25418225.0,16792920
add,,,27514578.0,17352684
add,,,27243916.0,17912448
add,,,28184215.0,18472212
add,,,28762441.0,19031976
add,,,30178014.0,19591740
add,,,32631450.0,20151504
add,,,33210564.0,20711268
add,,,33322148.0,21271032
add,,,34057810.0,21830796
add,,,35559068.0,22390560
add,,,35941239.0,22950324
add,,,38080896.0,23510088
add,,,36515589.0,24069852
add,,,37877772.0,24629616
add,,,40703813.0,25189380
add,,,38932885.0,25749144
add,,,40226687.0,26308908
add,,,42648691.0,26868672
add,,,44510111.0,27428436
add,,,44121200.0,27988200
add,,,47821806.0,28547964
add,,,48700493.0,29107728
add,,,45185508.0,29667492
add,,,45787725.0,30227256
add,,,47043437.0,30787020
add,,,47724231.0,31346784
add,,,48495432.0,31906548
add,,,50840514.0,32466312
add,,,51422291.0,33026076
add,,,52173997.0,33585840
add,,,54246089.0,34145604
add,,,54402048.0,34705368
add,,,54829178.0,35265132
add,,,60095196.0,35824896
add,,,54882319.0,36384660
add,,,55986332.0,36944424
add,,,57041087.0,37504188
add,,,57060549.0,38063952
add,,,60184211.0,38623716
add,,,61308965.0,39183480
add,,,61867419.0,39743244
add,,,64509053.0,40303008
add,,,64717702.0,40862772
add,,,63161055.0,41422536
add,,,64122303.0,41982300
add,,,64480950.0,42542064
add,,,65483987.0,43101828
add,,,65997394.0,43661592
add,,,68823243.0,44221356
add,,,70534726.0,44781120
add,,,70543105.0,45340884
add,,,70296715.0,45900648
add,,,72119261.0,46460412
add,,,72001018.0,47020176
add,,,73352396.0,47579940
add,,,76011555.0,48139704
add,,,78347077.0,48699468
add,,,74886343.0,49259232
add,,,75762084.0,49818996
add,,,76192474.0,50378760
add,,,77857408.0,50938524
add,,,77759489.0,51498288
add,,,84748300.0,52058052
add,,,82567549.0,52617816
add,,,81772415.0,53177580
add,,,82595917.0,53737344
add,,,85084002.0,54297108
add,,,84930360.0,54856872
add,,,89205050.0,55416636
add,,,87293020.0,55976400
