group,function,value,sample_time_nanos,iteration_count
reduce,,,1610996.0,1
reduce,,,2925599.0,2
reduce,,,5118691.0,3
reduce,,,4049521.0,4
reduce,,,6201781.0,5
reduce,,,5456015.0,6
reduce,,,7971524.0,7
reduce,,,13482367.0,8
reduce,,,11733406.0,9
reduce,,,8909262.0,10
reduce,,,8058250.0,11
reduce,,,17728923.0,12
reduce,,,15723909.0,13
reduce,,,12456680.0,14
reduce,,,11241379.0,15
reduce,,,23655306.0,16
reduce,,,24413268.0,17
reduce,,,21632153.0,18
reduce,,,21794299.0,19
reduce,,,17207304.0,20
reduce,,,20575964.0,21
reduce,,,18629926.0,22
reduce,,,29334907.0,23
reduce,,,18611206.0,24
reduce,,,33688356.0,25
reduce,,,23213752.0,26
reduce,,,31472113.0,27
reduce,,,33421293.0,28
reduce,,,23717560.0,29
reduce,,,33757730.0,30
reduce,,,24277204.0,31
reduce,,,42257186.0,32
reduce,,,41709283.0,33
reduce,,,39125911.0,34
reduce,,,26857799.0,35
reduce,,,44210820.0,36
reduce,,,44475021.0,37
reduce,,,42220043.0,38
reduce,,,40381444.0,39
reduce,,,40135908.0,40
reduce,,,32334163.0,41
reduce,,,47375905.0,42
reduce,,,46006433.0,43
reduce,,,45402073.0,44
reduce,,,48681879.0,45
reduce,,,48869378.0,46
reduce,,,49182388.0,47
reduce,,,50635746.0,48
reduce,,,50837538.0,49
reduce,,,51394827.0,50
reduce,,,52986156.0,51
reduce,,,52816081.0,52
reduce,,,85519917.0,53
reduce,,,54231507.0,54
reduce,,,58474965.0,55
reduce,,,61881650.0,56
reduce,,,53241454.0,57
reduce,,,69958263.0,58
reduce,,,58281718.0,59
reduce,,,59907162.0,60
reduce,,,59772454.0,61
reduce,,,75152780.0,62
reduce,,,61030835.0,63
reduce,,,60381675.0,64
reduce,,,77060160.0,65
reduce,,,62459196.0,66
reduce,,,72032034.0,67
reduce,,,67565292.0,68
reduce,,,64704721.0,69
reduce,,,83068510.0,70
reduce,,,70174315.0,71
reduce,,,82609312.0,72
reduce,,,74950831.0,73
reduce,,,79681014.0,74
reduce,,,82019790.0,75
reduce,,,72489438.0,76
reduce,,,83489308.0,77
reduce,,,72334411.0,78
reduce,,,87123182.0,79
reduce,,,85563909.0,80
reduce,,,76380059.0,81
reduce,,,88538734.0,82
reduce,,,86496525.0,83
reduce,,,80971652.0,84
reduce,,,90200504.0,85
reduce,,,88331742.0,86
reduce,,,88767115.0,87
reduce,,,81883583.0,88
reduce,,,96980930.0,89
reduce,,,98174780.0,90
reduce,,,93431421.0,91
reduce,,,100841899.0,92
reduce,,,100003137.0,93
reduce,,,96759231.0,94
reduce,,,98994501.0,95
reduce,,,101915626.0,96
reduce,,,100517070.0,97
reduce,,,100428783.0,98
reduce,,,100577382.0,99
reduce,,,105304187.0,100
