group,function,value,sample_time_nanos,iteration_count
reduce100,,,1301395.0,2
reduce100,,,2581858.0,4
reduce100,,,3874419.0,6
reduce100,,,5122067.0,8
reduce100,,,6399277.0,10
reduce100,,,7855670.0,12
reduce100,,,9414960.0,14
reduce100,,,11896220.0,16
reduce100,,,11949661.0,18
reduce100,,,13318234.0,20
reduce100,,,14270246.0,22
reduce100,,,15739503.0,24
reduce100,,,18011050.0,26
reduce100,,,19524780.0,28
reduce100,,,19456638.0,30
reduce100,,,20119230.0,32
reduce100,,,21756689.0,34
reduce100,,,23022746.0,36
reduce100,,,23817364.0,38
reduce100,,,25846789.0,40
reduce100,,,27305271.0,42
reduce100,,,27929853.0,44
reduce100,,,30042443.0,46
reduce100,,,30263781.0,48
reduce100,,,32065829.0,50
reduce100,,,32544290.0,52
reduce100,,,33953386.0,54
reduce100,,,34313775.0,56
reduce100,,,36330894.0,58
reduce100,,,37339894.0,60
reduce100,,,40071796.0,62
reduce100,,,40612812.0,64
reduce100,,,40458416.0,66
reduce100,,,42668103.0,68
reduce100,,,42462551.0,70
reduce100,,,43236561.0,72
reduce100,,,45405158.0,74
reduce100,,,45359642.0,76
reduce100,,,47774931.0,78
reduce100,,,48281217.0,80
reduce100,,,50278707.0,82
reduce100,,,52639825.0,84
reduce100,,,52593584.0,86
reduce100,,,52644413.0,88
reduce100,,,54573674.0,90
reduce100,,,55959662.0,92
reduce100,,,57223613.0,94
reduce100,,,58863030.0,96
reduce100,,,59744291.0,98
reduce100,,,60790125.0,100
reduce100,,,62999149.0,102
reduce100,,,62994179.0,104
reduce100,,,64251949.0,106
reduce100,,,64251303.0,108
reduce100,,,65754221.0,110
reduce100,,,70225365.0,112
reduce100,,,69035448.0,114
reduce100,,,70545728.0,116
reduce100,,,71671254.0,118
reduce100,,,71599238.0,120
reduce100,,,72905444.0,122
reduce100,,,74087292.0,124
reduce100,,,76196312.0,126
reduce100,,,76388704.0,128
reduce100,,,77427747.0,130
reduce100,,,77563054.0,132
reduce100,,,78885864.0,134
reduce100,,,80477395.0,136
reduce100,,,81401059.0,138
reduce100,,,82522530.0,140
reduce100,,,84270773.0,142
reduce100,,,85670466.0,144
reduce100,,,86708214.0,146
reduce100,,,87330036.0,148
reduce100,,,87589093.0,150
reduce100,,,88831819.0,152
reduce100,,,93141325.0,154
reduce100,,,90996052.0,156
reduce100,,,92889302.0,158
reduce100,,,93214623.0,160
reduce100,,,95023619.0,162
reduce100,,,97372971.0,164
reduce100,,,97755894.0,166
reduce100,,,98304213.0,168
reduce100,,,98688685.0,170
reduce100,,,100584258.0,172
reduce100,,,102626982.0,174
reduce100,,,102816191.0,176
reduce100,,,104093229.0,178
reduce100,,,104968161.0,180
reduce100,,,106334636.0,182
reduce100,,,108735425.0,184
reduce100,,,108881356.0,186
reduce100,,,110071972.0,188
reduce100,,,110905302.0,190
reduce100,,,113693051.0,192
reduce100,,,115506801.0,194
reduce100,,,115350196.0,196
reduce100,,,115719869.0,198
reduce100,,,117350335.0,200
