group,function,value,sample_time_nanos,iteration_count
reduce1000,,,47414328.0,1
reduce1000,,,93682520.0,2
reduce1000,,,149839667.0,3
reduce1000,,,155266442.0,4
reduce1000,,,203299928.0,5
reduce1000,,,300625075.0,6
reduce1000,,,343846615.0,7
reduce1000,,,357448484.0,8
reduce1000,,,451813238.0,9
reduce1000,,,435944490.0,10
reduce1000,,,505582123.0,11
reduce1000,,,502920079.0,12
reduce1000,,,544266896.0,13
reduce1000,,,599003060.0,14
reduce1000,,,608563338.0,15
reduce1000,,,739861615.0,16
reduce1000,,,760532757.0,17
reduce1000,,,893416723.0,18
reduce1000,,,810674849.0,19
reduce1000,,,846092964.0,20
reduce1000,,,893660026.0,21
reduce1000,,,947751793.0,22
reduce1000,,,1009450884.0,23
reduce1000,,,1137981719.0,24
reduce1000,,,1015046724.0,25
reduce1000,,,1139889197.0,26
reduce1000,,,1108140526.0,27
reduce1000,,,1299534122.0,28
reduce1000,,,1339459693.0,29
reduce1000,,,1207677161.0,30
reduce1000,,,1347734717.0,31
reduce1000,,,1447016873.0,32
reduce1000,,,1405531078.0,33
reduce1000,,,1493150275.0,34
reduce1000,,,1653195252.0,35
reduce1000,,,1747171179.0,36
reduce1000,,,1558929293.0,37
reduce1000,,,1641294533.0,38
reduce1000,,,1661764501.0,39
reduce1000,,,1842169393.0,40
reduce1000,,,1707321621.0,41
reduce1000,,,1850510382.0,42
reduce1000,,,2039950047.0,43
reduce1000,,,2010078143.0,44
reduce1000,,,2192109765.0,45
reduce1000,,,2200611355.0,46
reduce1000,,,2305307173.0,47
reduce1000,,,2051659326.0,48
reduce1000,,,2194241009.0,49
reduce1000,,,2296382629.0,50
reduce1000,,,2394595777.0,51
reduce1000,,,2301989370.0,52
reduce1000,,,2308514815.0,53
reduce1000,,,2451668019.0,54
reduce1000,,,2845901471.0,55
reduce1000,,,2606453785.0,56
reduce1000,,,2647702676.0,57
reduce1000,,,3292613757.0,58
reduce1000,,,2748538782.0,59
reduce1000,,,2454295215.0,60
reduce1000,,,2452781388.0,61
reduce1000,,,2598321248.0,62
reduce1000,,,2644662807.0,63
reduce1000,,,2706341279.0,64
reduce1000,,,2850060905.0,65
reduce1000,,,3201104224.0,66
reduce1000,,,3039067119.0,67
reduce1000,,,3108120568.0,68
reduce1000,,,3345535071.0,69
reduce1000,,,3002772736.0,70
reduce1000,,,3657572149.0,71
reduce1000,,,3843027453.0,72
reduce1000,,,3449399939.0,73
reduce1000,,,6356423859.0,74
reduce1000,,,3295596182.0,75
reduce1000,,,3845229394.0,76
reduce1000,,,3511182663.0,77
reduce1000,,,3697332481.0,78
reduce1000,,,3249580016.0,79
reduce1000,,,3494148878.0,80
reduce1000,,,3397025399.0,81
reduce1000,,,3351729500.0,82
reduce1000,,,3606093187.0,83
reduce1000,,,3497911331.0,84
reduce1000,,,4491716189.0,85
reduce1000,,,4464449021.0,86
reduce1000,,,4900313663.0,87
reduce1000,,,6970113636.0,88
reduce1000,,,6416148733.0,89
reduce1000,,,4112450915.0,90
reduce1000,,,3943518562.0,91
reduce1000,,,4107501230.0,92
reduce1000,,,5184236087.0,93
reduce1000,,,6662952665.0,94
reduce1000,,,6398065707.0,95
reduce1000,,,4454591529.0,96
reduce1000,,,4899073022.0,97
reduce1000,,,7687946901.0,98
reduce1000,,,4399888260.0,99
reduce1000,,,4910589880.0,100
